City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vernon,50.2581,-119.2691,7.09,82,87,1.54,CA,1731637802
cockburn town,21.4612,-71.1419,26.27,68,100,5.84,TC,1731637851
puerto ayora,-0.7393,-90.3518,22.53,81,66,2.24,EC,1731637852
dakhla,23.6848,-15.958,19.03,88,78,4.0,EH,1731637853
vilyuchinsk,52.9306,158.4028,-0.85,73,4,3.57,RU,1731637855
polygyros,40.3744,23.4383,9.26,88,100,1.23,GR,1731637856
hami,42.8,93.45,1.5,42,47,1.61,CN,1731637857
enewetak,11.3474,162.3373,28.4,72,47,5.72,MH,1731637858
fortuna,40.5982,-124.1573,8.88,94,100,2.06,US,1731637859
saurimo,-9.6608,20.3916,18.65,99,100,1.05,AO,1731637860
yichun,47.7,128.9,-0.83,59,59,0.95,CN,1731637861
kolpashevo,58.3131,82.9089,-17.01,92,100,2.61,RU,1731637863
bredasdorp,-34.5322,20.0403,13.2,92,23,2.26,ZA,1731637864
yuzhno-kurilsk,44.0306,145.8556,9.33,73,100,3.09,RU,1731637865
lavras,-21.2453,-44.9997,17.96,92,88,5.43,BR,1731637655
roswell,34.0232,-84.3616,11.93,95,100,1.79,US,1731637868
nosy varika,-20.5833,48.5333,22.46,81,42,1.25,MG,1731637869
hilo,19.7297,-155.09,25.85,80,100,3.09,US,1731637870
solnechnyy,50.7214,136.6319,-0.7,62,40,1.83,RU,1731637872
geraldton,-28.7667,114.6,23.23,64,100,6.69,AU,1731637873
manicore,-5.8092,-61.3003,24.72,87,79,1.08,BR,1731637874
flying fish cove,-10.4217,105.6791,27.82,89,100,5.14,CX,1731637875
sendafa,9.15,39.0333,7.87,75,32,0.98,ET,1731637876
albany,42.6001,-73.9662,1.92,60,100,0.27,US,1731637811
afif,23.9065,42.9172,17.02,30,0,3.49,SA,1731637878
polyarnyy,69.1989,33.4478,1.03,87,98,13.73,RU,1731637880
coquimbo,-29.9533,-71.3436,13.85,81,0,2.57,CL,1731637768
as salt,32.0392,35.7272,11.6,49,3,1.88,JO,1731637882
lao cai,22.4833,103.95,28.65,56,0,1.24,VN,1731637883
zhelezinka,53.54,75.3072,-5.98,93,97,5.0,KZ,1731637884
vila franca do campo,37.7167,-25.4333,18.27,99,49,6.48,PT,1731637885
woods creek,47.8787,-121.8985,7.34,94,100,1.41,US,1731637886
dyatlovo,53.4631,25.4068,-0.03,97,87,3.74,BY,1731637887
badger,64.8,-147.5333,-18.89,80,40,3.6,US,1731637889
tanjung pinang,0.9167,104.45,29.44,69,97,1.3,ID,1731637890
weno,7.4515,151.8468,31.97,70,75,3.6,FM,1731637891
middlesboro,36.6084,-83.7166,12.0,76,100,0.0,US,1731637893
barabai,-2.5833,115.3833,32.99,59,55,0.73,ID,1731637894
iwon-up,40.3231,128.6553,14.16,73,63,1.53,KP,1731637895
isangel,-19.55,169.2667,31.06,70,75,4.12,VU,1731637896
quellon,-43.1167,-73.6167,9.83,92,100,3.97,CL,1731637898
boguchany,58.3814,97.4531,-9.48,86,99,2.67,RU,1731637899
margaret river,-33.95,115.0667,16.43,69,100,7.61,AU,1731637900
cidreira,-30.1811,-50.2056,20.55,71,15,7.65,BR,1731637901
klyuchi,52.2667,79.1667,-4.65,92,100,5.66,RU,1731637902
gobabis,-22.45,18.9667,21.9,41,6,4.6,NA,1731637903
isafjordur,66.0755,-23.124,-1.55,76,89,6.46,IS,1731637905
touros,-5.1989,-35.4608,24.95,78,80,4.8,BR,1731637906
padang,-0.9492,100.3543,28.03,82,88,1.64,ID,1731637907
vadso,70.0744,29.7487,3.09,81,40,13.89,NO,1731637908
sorong,-0.8833,131.25,29.55,68,84,0.81,ID,1731637909
slave lake,55.2834,-114.769,-1.01,80,100,0.0,CA,1731637910
egilsstadir,65.2653,-14.3948,6.95,87,75,2.57,IS,1731637911
alotau,-10.3069,150.4462,30.84,60,34,2.92,PG,1731637913
lata,40.1629,-8.3327,10.61,92,43,2.31,PT,1731637914
wamba,8.9333,8.6,22.89,24,35,1.16,NG,1731637915
vorgashor,67.5833,63.95,-7.2,96,100,4.95,RU,1731637916
howrah,22.5892,88.3103,23.0,78,5,2.57,IN,1731637917
piriapolis,-34.8682,-55.2744,19.09,65,0,3.6,UY,1731637918
hinton,53.4001,-117.5857,-3.31,95,42,0.4,CA,1731637922
charlottetown,46.2352,-63.1267,3.29,95,100,12.86,CA,1731637788
georgetown,5.4112,100.3354,26.97,79,20,5.81,MY,1731637925
uturoa,-16.7333,-151.4333,26.3,75,100,5.47,PF,1731637926
khandud,36.9513,72.318,0.45,90,100,1.3,AF,1731637928
kabwe,-14.4469,28.4464,18.15,85,38,4.75,ZM,1731637803
tandalti,13.0167,31.8667,26.46,38,62,5.22,SD,1731637930
andapa,-14.65,49.65,21.24,86,100,0.41,MG,1731637931
iqaluit,63.7506,-68.5145,-0.15,86,75,5.66,CA,1731637932
tobol,52.6844,62.5794,-4.24,89,57,5.0,KZ,1731637933
chifeng,42.2683,118.9636,11.12,59,6,2.12,CN,1731637934
williams lake,52.1415,-122.1445,3.76,96,75,2.06,CA,1731637935
tromso,69.6496,18.957,1.01,93,75,6.17,NO,1731637938
hampton bays,40.869,-72.5176,7.14,57,100,1.79,US,1731637939
zhanaozen,43.3,52.8,0.54,50,95,5.87,KZ,1731637940
ippy,6.2679,21.2247,20.31,58,45,1.71,CF,1731637941
la ronge,55.1001,-105.2842,-2.86,93,100,5.66,CA,1731637942
chino,34.0122,-117.6889,17.07,69,40,5.36,US,1731637908
marienberg,50.65,13.1667,5.33,94,100,2.58,DE,1731637946
lodja,-3.4833,23.4333,20.84,99,100,1.16,CD,1731637947
minas de marcona,-15.2119,-75.1103,14.22,83,73,3.46,PE,1731637948
port blair,11.6667,92.75,29.02,79,40,1.03,IN,1731637804
la passe,45.5549,-0.8967,7.6,86,0,5.87,FR,1731637950
pariaman,-0.619,100.12,28.03,78,100,2.38,ID,1731637951
massawa,15.6097,39.45,27.98,62,0,2.91,ER,1731637952
dongola,19.1667,30.4833,20.2,27,0,5.68,SD,1731637954
port isabel,26.0734,-97.2086,21.02,73,0,3.09,US,1731637955
port douglas,-16.4833,145.4667,28.05,67,11,3.2,AU,1731637956
qaqortoq,60.7167,-46.0333,-9.91,54,61,2.77,GL,1731637957
punta arenas,-53.15,-70.9167,9.06,71,100,5.66,CL,1731637600
gardez,33.5974,69.2259,4.4,68,66,1.25,AF,1731637959
suva,-18.1416,178.4415,28.71,70,75,6.17,FJ,1731637723
alofi,-19.0595,-169.9187,25.94,65,75,9.26,NU,1731637963
palikir - national government center,6.9248,158.1611,30.41,70,100,2.57,FM,1731637964
chincha alta,-13.4099,-76.1323,17.32,90,33,0.45,PE,1731637965
olonkinbyen,70.9221,-8.7187,-3.99,85,99,8.1,SJ,1731637958
east ballina,-28.8667,153.5833,23.59,73,98,5.09,AU,1731637967
zahedan,29.4963,60.8629,7.95,71,20,3.09,IR,1731637968
derzhavinsk,51.1,66.3167,-2.36,93,100,6.48,KZ,1731637969
hasaki,35.7333,140.8333,18.42,89,100,3.76,JP,1731637955
st. john's,47.5649,-52.7093,11.2,99,100,9.26,CA,1731637923
choibalsan,48.0667,114.5,3.49,72,14,9.38,MN,1731637973
lebu,-37.6167,-73.65,12.74,93,100,0.37,CL,1731637961
faratsiho,-19.4,46.95,14.54,57,44,2.23,MG,1731637975
pinhao,-25.6956,-51.6597,14.38,90,35,2.61,BR,1731637976
mahina,-17.5065,-149.489,28.87,65,0,4.12,PF,1731637977
westport,41.1415,-73.3579,5.11,57,0,2.06,US,1731637696
bela,25.9333,81.9833,23.17,36,0,1.97,IN,1731637979
turpan,42.9333,89.1667,6.2,31,8,1.66,CN,1731637980
wanganui,-39.9333,175.05,14.7,97,100,3.58,NZ,1731637981
pangody,65.85,74.4859,-15.12,93,100,8.85,RU,1731637983
khorinsk,52.1657,109.7726,-7.99,86,100,0.48,RU,1731637984
portland,45.5234,-122.6762,9.49,92,100,0.89,US,1731637803
crossett,33.1282,-91.9612,11.12,59,0,1.72,US,1731637986
as sulayyil,20.4607,45.5779,17.8,35,5,2.88,SA,1731637987
el porvenir,13.7617,-87.3458,22.21,97,100,0.76,HN,1731637988
el charco,2.4769,-78.1105,24.29,83,100,0.89,CO,1731637989
parauapebas,-6.0675,-49.9022,22.48,98,100,0.74,BR,1731637990
kavieng,-2.5744,150.7967,29.81,65,4,4.38,PG,1731637992
san carlos de bariloche,-41.1456,-71.3082,9.86,76,75,10.8,AR,1731637993
new plymouth,-39.0667,174.0833,18.23,100,98,3.59,NZ,1731637994
loralai,30.3705,68.598,13.82,47,0,0.66,PK,1731637995
yanam,16.7333,82.2167,28.55,67,48,3.38,IN,1731637996
singaraja,-8.112,115.0882,31.14,63,100,2.35,ID,1731637997
keflavik,64.0049,-22.5624,3.24,60,75,19.03,IS,1731637998
mosjoen,65.836,13.1908,8.29,87,100,1.54,NO,1731637999
bernay,49.1667,0.6667,5.04,94,7,2.63,FR,1731638001
bathsheba,13.2167,-59.5167,28.34,74,20,2.57,BB,1731638002
acajutla,13.5928,-89.8275,26.37,83,100,2.69,SV,1731638004
nova sintra,14.8667,-24.7167,25.4,61,76,1.46,CV,1731638005
praia da vitoria,38.7333,-27.0667,17.14,77,75,7.37,PT,1731638007
sao joao da barra,-21.6403,-41.0511,21.86,94,100,3.35,BR,1731638009
vyatskiye polyany,56.226,51.0656,-0.78,91,100,4.74,RU,1731638010
kanke,23.4333,85.3167,17.01,77,16,0.0,IN,1731638011
vuktyl,63.8567,57.3094,0.48,98,100,4.37,RU,1731637995
shirgaon,19.7,72.7,26.1,57,100,2.19,IN,1731638013
mirnyy,62.5353,113.9611,-20.31,96,100,1.96,RU,1731638014
molde,62.7375,7.1591,11.91,82,100,6.17,NO,1731637761
limoeiro do norte,-5.1456,-38.0981,24.64,68,8,2.89,BR,1731638016
salacgriva,57.7536,24.3581,6.58,72,76,5.47,LV,1731638017
kuqa,41.7278,82.9364,5.34,55,0,1.96,CN,1731638020
hotan,37.0997,79.9269,7.77,35,66,1.33,CN,1731638021
taft,31.7471,54.2088,4.97,70,0,1.03,IR,1731638022
stilfontein,-26.8449,26.7683,17.02,67,6,5.4,ZA,1731638023
pacific grove,36.6177,-121.9166,12.83,93,3,4.47,US,1731638024
saldanha,-33.0117,17.9442,13.03,91,0,6.19,ZA,1731638025
new norfolk,-42.7826,147.0587,15.95,43,100,2.32,AU,1731638026
el calafate,-50.3408,-72.2768,7.49,78,42,5.58,AR,1731638028
puerto baquerizo moreno,-0.9,-89.6,21.21,75,95,4.87,EC,1731638029
kamina,-8.7386,24.9906,16.75,97,92,1.62,CD,1731638030
yarmouth,41.7057,-70.2286,6.19,63,0,5.66,US,1731638031
lida,53.8833,25.2997,0.51,94,69,4.0,BY,1731638032
afaahiti,-17.75,-149.2833,24.7,81,100,4.66,PF,1731638033
petukhovo,55.0692,67.9019,-6.7,91,100,5.77,RU,1731638035
turochak,52.2576,87.1224,-3.39,72,100,5.81,RU,1731638037
narasimharajapura,13.6167,75.5167,22.47,88,71,1.17,IN,1731638038
constantia,44.1833,28.65,5.39,90,100,3.79,RO,1731638002
emerald,-23.5333,148.1667,35.9,29,85,6.25,AU,1731638040
lazaro cardenas,17.9583,-102.2,25.73,81,45,1.55,MX,1731638041
zakamensk,50.3741,103.2863,-8.47,46,100,2.6,RU,1731638042
shahrud,36.4182,54.9763,4.17,66,2,0.45,IR,1731638043
port elizabeth,-33.918,25.5701,12.4,96,0,1.54,ZA,1731638044
al khums,32.6486,14.2619,20.05,50,0,3.12,LY,1731638046
iitti,60.8949,26.3387,-0.94,99,89,2.66,FI,1731638047
tevriz,57.509,72.4042,-5.67,93,100,3.84,RU,1731638048
nevada,39.2502,-116.7512,0.18,27,0,1.62,US,1731638049
santana,-0.0583,-51.1817,28.1,78,40,4.63,BR,1731638050
whistler,50.1164,-122.9695,1.65,97,91,1.84,CA,1731638051
pisco,-13.7,-76.2167,19.03,82,75,6.69,PE,1731638035
magong,23.5654,119.5863,24.02,94,100,8.29,TW,1731638053
susuman,62.7833,148.1667,-21.36,96,99,0.62,RU,1731638055
nkove,-7.95,30.85,24.5,65,86,1.14,TZ,1731638056
labasa,-16.4167,179.3833,28.66,65,55,4.55,FJ,1731638057
petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,47,0,5.0,RU,1731638058
mantua,45.1667,10.7833,1.34,85,0,2.78,IT,1731638059
bodo,67.28,14.405,8.3,98,100,12.35,NO,1731638060
atafu village,-8.5421,-172.5159,28.07,77,100,4.57,TK,1731638061
tura,25.5198,90.2201,24.11,65,0,0.5,IN,1731638062
pucon,-39.2822,-71.9543,12.14,97,99,1.61,CL,1731637839
mournies,35.4764,24.0092,30.04,94,0,0.0,GR,1731638065
caleta de carquin,-11.0925,-77.6267,18.2,86,47,3.28,PE,1731638066
concepcion,-36.827,-73.0498,13.89,88,100,4.12,CL,1731638007
karlskoga,59.3267,14.5239,4.15,93,100,2.53,SE,1731638068
lianjiang,21.6467,110.2817,29.46,62,0,1.68,CN,1731638069
priob'ye,62.5206,65.5964,-3.49,92,100,3.78,RU,1731638070
guaraniacu,-25.1008,-52.8781,17.95,66,64,1.12,BR,1731638072
arauca,7.0847,-70.7591,25.98,94,40,1.03,CO,1731638073
tari,-11.1105,14.3559,18.39,91,98,1.51,AO,1731638074
kudahuvadhoo,2.6708,72.8944,28.28,67,13,3.19,MV,1731638075
stanthorpe,-28.6667,151.95,22.46,76,100,2.74,AU,1731638076
namtsy,62.7161,129.6658,-20.78,93,100,2.34,RU,1731638077
dolores,-36.3132,-57.6792,16.32,60,5,4.44,AR,1731638078
swakopmund,-22.6833,14.5333,15.77,83,0,1.26,NA,1731638079
zag,46.9441,99.165,-18.25,67,10,0.83,MN,1731638080
lerwick,60.1545,-1.1494,10.49,85,100,11.32,GB,1731638082
gadzhiyevo,69.2551,33.3362,1.11,87,98,14.19,RU,1731638083
lijiang,26.8688,100.2207,13.83,48,0,1.53,CN,1731638084
dampit,-8.2116,112.7493,32.31,49,32,2.26,ID,1731638085
atamyrat,37.8357,65.2106,5.61,64,6,3.32,TM,1731638086
san andres,12.5847,-81.7006,28.01,83,20,1.54,CO,1731637825
puerto san jose,13.9256,-90.8244,26.48,86,100,2.96,GT,1731638088
las khorey,11.1595,48.1967,25.22,42,99,2.83,SO,1731638089
port-vila,-17.7338,168.3219,30.78,70,75,3.6,VU,1731638091
pimentel,-6.8367,-79.9342,19.16,77,0,4.63,PE,1731638092
cooma,-36.2333,149.1333,22.87,34,43,5.78,AU,1731638093
taoudenni,22.6783,-3.9836,22.54,16,2,1.33,ML,1731638094
sanctuary point,-35.1114,150.629,19.05,64,85,2.06,AU,1731638095
st anne,49.715,-2.2042,12.8,73,27,4.79,GG,1731638096
umm kaddadah,13.6017,26.6876,21.61,32,1,7.49,SD,1731638097
kavaratti,10.5669,72.642,28.44,74,100,2.82,IN,1731638098
baiti,13.745,-14.7482,24.17,52,81,2.65,SN,1731638100
kone,-21.0595,164.8658,28.46,58,79,3.28,NC,1731638101
kot diji,27.3427,68.7083,25.23,46,0,2.29,PK,1731638102
puerto cabezas,14.0351,-83.3888,24.72,87,100,2.57,NI,1731638103
kingston,17.997,-76.7936,27.53,83,20,1.54,JM,1731637861
upper dir,35.2058,71.8756,9.21,90,100,0.58,PK,1731638105
kendari,-3.945,122.4989,31.64,61,56,2.63,ID,1731638106
nova vicosa,-17.8919,-39.3719,23.84,87,99,2.54,BR,1731638109
samut sakhon,13.5833,100.3,28.78,75,98,1.61,TH,1731638110
salekhard,66.53,66.6019,-12.67,96,100,1.78,RU,1731638112
swan hill,-35.3378,143.5544,27.11,17,37,1.87,AU,1731638113
island harbour,50.724,-1.2758,8.44,51,15,1.88,GB,1731638114
nantucket,41.2835,-70.0995,6.19,60,0,8.06,US,1731638115
labytnangi,66.6572,66.4183,-13.54,96,100,1.28,RU,1731638117
ingeniero guillermo n. juarez,-23.9,-61.85,22.92,34,35,3.08,AR,1731638118
kattivakkam,13.2167,80.3167,26.73,99,100,3.53,IN,1731638119
tomatlan,19.9333,-105.25,22.59,95,9,0.83,MX,1731638120
nuku'alofa,-21.1333,-175.2,27.19,83,40,4.63,TO,1731638122
harper,4.375,-7.7169,25.51,87,41,3.26,LR,1731638123
al jawf,29.5,38.75,16.72,52,40,4.15,SA,1731638124
happy valley-goose bay,53.3168,-60.3315,-9.83,92,75,2.06,CA,1731638039
skurup,55.4784,13.5019,2.09,100,100,2.06,SE,1731638127
chibougamau,49.9168,-74.3659,-2.21,69,75,1.54,CA,1731638128
rosarito,32.3333,-117.0333,16.54,86,48,3.73,MX,1731637803
zhytkavichy,52.2168,27.8561,1.42,97,100,3.48,BY,1731638130
alaghsas,17.0187,8.0168,23.51,15,68,4.43,NE,1731638131
ladovskaya balka,45.6297,41.4023,6.27,91,100,1.23,RU,1731638132
amga,60.8953,131.9608,-17.14,91,100,2.27,RU,1731638133
oyama,36.3,139.8,18.11,72,100,1.48,JP,1731638134
xinyuan,37.3,99.0,2.17,32,98,2.16,CN,1731638135
ma'an,26.9775,110.7211,24.64,58,18,1.7,CN,1731638137
mukalla,14.5425,49.1242,23.88,58,33,0.89,YE,1731638139
siwa oasis,29.2041,25.5195,17.65,62,0,1.71,EG,1731638140
kui buri,12.0828,99.8543,29.99,67,93,1.06,TH,1731638141
chiredzi,-21.05,31.6667,18.32,77,91,3.19,ZW,1731638142
sel'tso,53.3675,34.1,-0.7,86,100,4.6,RU,1731638143
opuwo,-18.0607,13.84,21.17,70,100,5.14,NA,1731638145
bandiagara,14.3501,-3.6104,26.8,26,49,4.34,ML,1731638146
motueka,-41.1333,173.0167,22.28,57,94,2.8,NZ,1731638147
gamba,-2.65,10.0,23.49,96,100,1.45,GA,1731638148
igrim,63.1906,64.4162,-1.6,93,100,3.93,RU,1731638149
prince rupert,54.3161,-130.3201,5.83,79,75,7.2,CA,1731638150
